Timestamp,age_group,gender,current_country,reason_current_country,marital_status,dependents,education_level,field_of_study,employment_status,experience_years,remote_work,languages_raw,relocation_intent,relocation_goal,budget_band,visa_budget_ability,preferred_regions,cultural_preference,passport_status_raw,visa_preference,support_needed,special_needs,budget_estimated_usd,passport_status,remote_capable,languages_clean
2025-11-25 20:13:11.070,25-34,Male,United Arab Emirates,For employment opportunities,Single,0,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Employment,$200–500,Yes,"Europe, Asia (Malaysia, China)",Prefer Arabic-speaking countries,"Yes, and it is valid",Easy visa required,Legal/immigration support,No,350,Valid,True,"arabic, english"
2025-11-25 20:15:43.406,25-34,Male,Uganda ,For employment opportunities,Single,0,Bachelor's Degree,Pharmacist ,Unemployed (looking for work),2-4,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Yes,Start or expand a business,$200–500,Yes,Canada,Prefer Western countries,"Yes, and it is valid",Willing to go through long visa process,Job placement,No,350,Valid,False,"arabic, english"
2025-11-25 20:19:44.095,25-34,Male,Egypt,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Employment,$200–500,No,"Gulf countries (UAE, Saudi, Qatar), Europe, UK / Ireland, Canada, USA",Prefer Western countries,"Yes, and it is valid",Willing to go through long visa process,Job placement,No,350,Valid,True,"arabic, english"
2025-11-25 20:21:24.550,25-34,Male,Saudi Arabia,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Engineering,Unemployed (looking for work),2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,Improve safety and stability,"$500–1,000",Partially able,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Only countries with sponsorship opportunities,Job placement,Prefer not to say,750,Valid,True,"arabic, english"
2025-11-25 20:25:13.413,25-34,Female,United Arab Emirates,For employment opportunities,Single,2,Bachelor's Degree,Economic &Political Science ,Employed full-time,5-7,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",No,Not seeking to relocate,"$1,000–2,500",Yes,"Gulf countries (UAE, Saudi, Qatar), Europe, UK / Ireland, Canada, USA",No strong preference,"Yes, and it is valid",Easy visa required,Medical support,No,1750,Valid,True,"arabic, english"
2025-11-25 20:29:41.061,25-34,Male,United Arab Emirates,Fled the war / seeking safety,Single,1,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English, German",Yes,Reunite with family,"$1,000–2,500",Yes,"Gulf countries (UAE, Saudi, Qatar), East Africa (Kenya, Ethiopia, Uganda), North Africa (Egypt, Libya, Tunisia), Europe",Prefer Arabic-speaking countries,"Yes, and it is valid",Only countries with sponsorship opportunities,Scholarship / education funding,No,1750,Valid,True,"arabic, english, german"
2025-11-25 20:31:19.072,25-34,Male,Saudi Arabia,For employment opportunities,Single,3-4,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Education,$200–500,Yes,"Europe, UK / Ireland",Prefer Western countries,"Yes, and it is valid",Willing to go through long visa process,Scholarship / education funding,No,350,Valid,True,"arabic, english"
2025-11-25 20:34:26.543,25-34,Male,United Arab Emirates,Fled the war / seeking safety,Single,5+,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English, Italian",Yes,Improve safety and stability,"$2,500–5,000",Yes,"Gulf countries (UAE, Saudi, Qatar), UK / Ireland, Canada",Prefer Western countries,"Yes, and it is valid",Only countries with sponsorship opportunities,Job placement,Yes,3750,Valid,True,"arabic, english, italian"
2025-11-25 20:37:49.015,18-24,Female,Egypt,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Engineering,Employed part-time,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Employment,$200–500,No,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, but it is expired",Easy visa required,Job placement,No,350,Expired,True,"arabic, english"
2025-11-25 20:41:23.019,25-34,Male,United Arab Emirates,For employment opportunities,Single,2,Bachelor's Degree,Engineering,Employed full-time,2-4,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Yes,Temporary relocation until returning to Sudan,"$500–1,000",Yes,Anywhere / No preference,Prefer Western countries,"Yes, and it is valid",Willing to go through long visa process,Scholarship / education funding,No,750,Valid,False,"arabic, english"
2025-11-25 20:44:47.007,25-34,Male,United Arab Emirates,For employment opportunities,Single,0,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",No,Employment,"$2,500–5,000",Partially able,"Gulf countries (UAE, Saudi, Qatar), Europe, UK / Ireland, Canada",No strong preference,"Yes, and it is valid",Willing to go through long visa process,Job placement,No,3750,Valid,True,"arabic, english"
2025-11-25 20:45:01.685,18-24,Female,Saudi Arabia,To join family members,Single,2,Bachelor's Degree,Business/Finance,Student,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,Not seeking to relocate,$200–500,No,"East Africa (Kenya, Ethiopia, Uganda)",Prefer African countries,"Yes, and it is valid",Easy visa required,Scholarship / education funding,No,350,Valid,True,"arabic, english"
2025-11-25 20:46:22.302,25-34,Female,United Arab Emirates,Fled the war / seeking safety,Single,3-4,Bachelor's Degree,Engineering,Employed full-time,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",No,,"$500–1,000",Partially able,"Gulf countries (UAE, Saudi, Qatar)",No strong preference,"Yes, and it is valid",Willing to go through long visa process,,No,750,Valid,True,"arabic, english"
2025-11-25 20:49:54.432,25-34,Female,Egypt,Fled the war / seeking safety,Single,5+,Bachelor's Degree,Engineering,Unemployed (looking for work),0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Education,$200–500,No,Anywhere / No preference,No strong preference,"Yes, and it is valid",Willing to go through long visa process,Language training,No,350,Valid,True,"arabic, english"
2025-11-25 20:56:41.313,18-24,Female,Egypt,Fled the war / seeking safety,Single,2,Bachelor's Degree,Medicine/Healthcare,Employed full-time,0-1,"I rely on physical/local labor (construction, retail, medical, etc.)","Arabic, English",Yes,Employment,"$500–1,000",No,"Europe, UK / Ireland, Canada",Prefer Western countries,"Yes, and it is valid",Only countries with sponsorship opportunities,Scholarship / education funding,No,750,Valid,False,"arabic, english"
2025-11-25 21:22:00.736,25-34,Male,Sudan,Already living here before the war,Single,2,Bachelor's Degree,Engineering,Employed full-time,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,Employment,<$200,Partially able,"Gulf countries (UAE, Saudi, Qatar), Europe, UK / Ireland, Canada, USA",Prefer Arabic-speaking countries,"Yes, and it is valid",Willing to go through long visa process,Job placement,No,150,Valid,True,"arabic, english"
2025-11-25 21:43:00.221,25-34,Female,Egypt,Fled the war / seeking safety,Single,5+,Bachelor's Degree,Engineering,Employed full-time,0-1,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Not sure yet,Employment,$200–500,Partially able,"Gulf countries (UAE, Saudi, Qatar)",Prefer Arabic-speaking countries,"Yes, and it is valid",Willing to go through long visa process,Housing assistance,No,350,Valid,True,"arabic, english"
2025-11-25 22:03:11.234,25-34,Male,United Arab Emirates,For employment opportunities,Single,3-4,Bachelor's Degree,Engineering,Employed full-time,2-4,I have a laptop and skills to work remotely (freelance/online),"Arabic, English",Yes,,"$500–1,000",Yes,"Europe, UK / Ireland, Canada, USA",Prefer Western countries,"Yes, but it will expire soon (within 6 months)",Easy visa required,Job placement,No,750,ExpiringSoon,True,"arabic, english"
